Tên model,Link
AITeamVN/Vi-Qwen2-1.5B-RAG,https://huggingface.co/AITeamVN/Vi-Qwen2-1.5B-RAG
AITeamVN/Vi-Qwen2-3B-RAG,https://huggingface.co/AITeamVN/Vi-Qwen2-3B-RAG
AITeamVN/Vietnamese Embedding,https://huggingface.co/AITeamVN/Vietnamese_Embedding
AITeamVN/Vietnamese Reranker,https://huggingface.co/AITeamVN/Vietnamese_Reranker
AITeamVN/Vietnamese_Embedding_v2,https://huggingface.co/AITeamVN/Vietnamese_Embedding_v2
Akiya-Vyre/vietnamese-legal-model-finetune,https://huggingface.co/Akiya-Vyre/vietnamese-legal-model-finetune
Alibaba-NLP/gte-multilingual-base,https://huggingface.co/Alibaba-NLP/gte-multilingual-base
Alibaba-NLP/gte-multilingual-reranker-base,https://huggingface.co/Alibaba-NLP/gte-multilingual-reranker-base
alphaedge-ai/Qwen3.5-2B-vie-32768,https://huggingface.co/alphaedge-ai/Qwen3.5-2B-vie-32768
BAAI/bge-m3,https://huggingface.co/BAAI/bge-m3
BAAI/bge-reranker-base,https://huggingface.co/BAAI/bge-reranker-base
BAAI/bge-reranker-v2-gemma,https://huggingface.co/BAAI/bge-reranker-v2-gemma
BAAI/bge-reranker-v2-m3,https://huggingface.co/BAAI/bge-reranker-v2-m3
bkai-foundation-models/vietnamese-bi-encoder,https://huggingface.co/bkai-foundation-models/vietnamese-bi-encoder
bqbbao6/vietnamese-legal-embedding,https://huggingface.co/bqbbao6/vietnamese-legal-embedding
CATI-AI/Qwen3-Embedding-0.6B-vietnamese-legal-v3,https://huggingface.co/CATI-AI/Qwen3-Embedding-0.6B-vietnamese-legal-v3
codefuse-ai/F2LLM-4B,https://huggingface.co/codefuse-ai/F2LLM-4B
codefuse-ai/F2LLM-v2-0.6B,https://huggingface.co/codefuse-ai/F2LLM-v2-0.6B
codefuse-ai/F2LLM-v2-1.7B,https://huggingface.co/codefuse-ai/F2LLM-v2-1.7B
cross-encoder/mmarco-mMiniLMv2-L12-H384-v1,https://huggingface.co/cross-encoder/mmarco-mMiniLMv2-L12-H384-v1
cross-encoder/mmarco-mMiniLMv2-L12-H384-v1,https://huggingface.co/cross-encoder/mmarco-mMiniLMv2-L12-H384-v1
cross-encoder/ms-marco-MiniLM-L6-v2,https://huggingface.co/cross-encoder/ms-marco-MiniLM-L6-v2
dangvantuan/vietnamese-document-embedding,https://huggingface.co/dangvantuan/vietnamese-document-embedding
darklethelong/vnlegal-lal,https://huggingface.co/darklethelong/vnlegal-lal
datht/viet-legal-4B,https://huggingface.co/datht/viet-legal-4B
DEk21_hcmute_embedding_v2,https://huggingface.co/huyydangg/DEk21_hcmute_embedding_v2
dxtech-asia/deepx-embedding-v1,https://huggingface.co/dxtech-asia/deepx-embedding-v1
google/embeddinggemma-300m,https://huggingface.co/google/embeddinggemma-300m
google/gemma-3-1b-it,https://huggingface.co/google/gemma-3-1b-it
Hanno-Labs/dinghy-law-0.6b-v1,https://huggingface.co/Hanno-Labs/dinghy-law-0.6b-v1
HuggingFaceTB/SmolLM3-3B,https://huggingface.co/HuggingFaceTB/SmolLM3-3B
huyydangg/DEk21_hcmute_embedding_v2,https://huggingface.co/huyydangg/DEk21_hcmute_embedding_v2
infgrad/Prism-Qwen3.5-Reranker-0.8B,https://huggingface.co/infgrad/Prism-Qwen3.5-Reranker-0.8B
infgrad/Prism-Qwen3.5-Reranker-2B,https://huggingface.co/infgrad/Prism-Qwen3.5-Reranker-2B
intfloat/multilingual-e5-base,https://huggingface.co/intfloat/multilingual-e5-base
intfloat/multilingual-e5-large,https://huggingface.co/intfloat/multilingual-e5-large
intfloat/multilingual-e5-large-instruct,https://huggingface.co/intfloat/multilingual-e5-large-instruct
intfloat/multilingual-e5-small,https://huggingface.co/intfloat/multilingual-e5-small
itdainb/PhoRanker,https://huggingface.co/itdainb/PhoRanker
jinaai/jina-colbert-v2,https://huggingface.co/jinaai/jina-colbert-v2
jinaai/jina-embeddings-v3,https://huggingface.co/jinaai/jina-embeddings-v3
jinaai/jina-reranker-v2-base-multilingual,https://huggingface.co/jinaai/jina-reranker-v2-base-multilingual
jinaai/jina-reranker-v3.5,https://huggingface.co/jinaai/jina-reranker-v3.5
keepitreal/vietnamese-sbert,https://huggingface.co/keepitreal/vietnamese-sbert
kiencnt2205/vietnamese-legal-reranker-bge-base,https://huggingface.co/kiencnt2205/vietnamese-legal-reranker-bge-base
luanngo/Qwen3-4B-VietNamese-Legal-Chat,https://huggingface.co/luanngo/Qwen3-4B-VietNamese-Legal-Chat
